,2008 Median Income,2019 Median Income,2008 Q1 Median Home Prices,2019 Q1 Median Home Prices
Adams,42455,49266,106000,240000
Asotin,42945,58265,150500,207000
Benton,57114,65888,162300,291500
Chelan,44013,69251,247000,326100
Clallam,40912,48396,236500,279800
Columbia,43508,46339,150000,167800
Cowlitz,41412,47061,180500,261600
Douglas,48325,57932,245000,325000
Ferry,38093,49928,136000,165000
Franklin,44797,70638,162300,291500
Garfield,49407,48130,150500,207000
Grant,48207,70622,165000,195500
Grays Harbor,42646,44167,150000,199000
Island,54886,61142,289500,355800
Jefferson,45995,56298,322500,387500
King,67027,92693,435000,656600
Kitsap,55417,76753,266000,354400
Kittitas,43582,63377,253800,342200
Klickitat,41403,62922,225000,231200
Lewis,38696,55628,195500,251900
Mason,48655,62197,195500,239500
Okanogan,36681,48439,170000,173600
Pacific,37368,47935,152500,191200
Pend Oreille,37680,43025,136000,228600
Pierce,57674,71629,265000,354600
San Juan,56784,62204,478800,633300
Skagit,54803,66234,285000,345700
Skamania,53983,60905,262500,275000
Snohomish,64289,88118,352700,479800
Spokane,48876,51083,186800,255600
Stevens,42573,46593,136000,228600
Thurston,63009,75924,257700,324300
Wahkiakum,47008,50824,250000,253500
Walla Walla,44940,54606,190000,241700
Whatcom,50443,66042,280000,382500
Whitman,32604,57913,211100,289100
Yakima,43692,46151,148200,230500
